video_id,frame_idx,image_path,fp32_score_fake,int8_score_fake,binary_label,selection_reason
732_691,8,data/processed/frames/nt_vs_real/test/732_691/0008.png,0.8997132778167725,0.42578125,1,fp32_correct_int8_wrong
739_865,0,data/processed/frames/nt_vs_real/test/739_865/0000.png,0.7875995635986328,0.3515625,1,fp32_correct_int8_wrong
479_706,18,data/processed/frames/nt_vs_real/test/479_706/0018.png,0.8476696014404297,0.44140625,1,fp32_correct_int8_wrong
517_521,0,data/processed/frames/nt_vs_real/test/517_521/0000.png,0.7398642897605896,0.37109375,1,fp32_correct_int8_wrong
154_386,0,data/processed/frames/nt_vs_real/test/154_386/0000.png,0.8337358236312866,0.48046875,1,fp32_correct_int8_wrong
479_706,0,data/processed/frames/nt_vs_real/test/479_706/0000.png,0.6317745447158813,0.28515625,1,fp32_correct_int8_wrong
732_691,13,data/processed/frames/nt_vs_real/test/732_691/0013.png,0.5537935495376587,0.25390625,1,fp32_correct_int8_wrong
418_507,3,data/processed/frames/nt_vs_real/test/418_507/0003.png,0.5657778382301331,0.26953125,1,fp32_correct_int8_wrong
186_170,0,data/processed/frames/nt_vs_real/test/186_170/0000.png,0.6034844517707825,0.3359375,1,fp32_correct_int8_wrong
255_214,2,data/processed/frames/nt_vs_real/test/255_214/0002.png,0.6268216967582703,0.38671875,1,fp32_correct_int8_wrong
454_527,24,data/processed/frames/nt_vs_real/test/454_527/0024.png,0.6631628274917603,0.44140625,1,fp32_correct_int8_wrong
420_257,13,data/processed/frames/nt_vs_real/test/420_257/0013.png,0.5754843354225159,0.40625,1,fp32_correct_int8_wrong
154_386,18,data/processed/frames/nt_vs_real/test/154_386/0018.png,0.5536189675331116,0.38671875,1,fp32_correct_int8_wrong
995_233,0,data/processed/frames/nt_vs_real/test/995_233/0000.png,0.5816407799720764,0.42578125,1,fp32_correct_int8_wrong
420_257,5,data/processed/frames/nt_vs_real/test/420_257/0005.png,0.5131765604019165,0.37109375,1,fp32_correct_int8_wrong
423_421,8,data/processed/frames/nt_vs_real/test/423_421/0008.png,0.6088134050369263,0.48046875,1,fp32_correct_int8_wrong
494_445,12,data/processed/frames/nt_vs_real/test/494_445/0012.png,0.5030184388160706,0.38671875,1,fp32_correct_int8_wrong
308_388,12,data/processed/frames/nt_vs_real/test/308_388/0012.png,0.5836320519447327,0.48046875,1,fp32_correct_int8_wrong
732_691,18,data/processed/frames/nt_vs_real/test/732_691/0018.png,0.5056272149085999,0.40625,1,fp32_correct_int8_wrong
257_420,12,data/processed/frames/nt_vs_real/test/257_420/0012.png,0.5774920582771301,0.48046875,1,fp32_correct_int8_wrong
