video_id,source_video_id,manipulation_type,video_path
000,000,real,original/000.mp4
001,001,real,original/001.mp4
002,002,real,original/002.mp4
003,003,real,original/003.mp4
004,004,real,original/004.mp4
005,005,real,original/005.mp4
006,006,real,original/006.mp4
007,007,real,original/007.mp4
008,008,real,original/008.mp4
009,009,real,original/009.mp4
010,010,real,original/010.mp4
011,011,real,original/011.mp4
012,012,real,original/012.mp4
013,013,real,original/013.mp4
014,014,real,original/014.mp4
015,015,real,original/015.mp4
016,016,real,original/016.mp4
017,017,real,original/017.mp4
018,018,real,original/018.mp4
019,019,real,original/019.mp4
020,020,real,original/020.mp4
021,021,real,original/021.mp4
022,022,real,original/022.mp4
023,023,real,original/023.mp4
024,024,real,original/024.mp4
025,025,real,original/025.mp4
026,026,real,original/026.mp4
027,027,real,original/027.mp4
028,028,real,original/028.mp4
029,029,real,original/029.mp4
030,030,real,original/030.mp4
031,031,real,original/031.mp4
032,032,real,original/032.mp4
033,033,real,original/033.mp4
034,034,real,original/034.mp4
035,035,real,original/035.mp4
036,036,real,original/036.mp4
037,037,real,original/037.mp4
038,038,real,original/038.mp4
039,039,real,original/039.mp4
040,040,real,original/040.mp4
041,041,real,original/041.mp4
042,042,real,original/042.mp4
043,043,real,original/043.mp4
044,044,real,original/044.mp4
045,045,real,original/045.mp4
046,046,real,original/046.mp4
047,047,real,original/047.mp4
048,048,real,original/048.mp4
049,049,real,original/049.mp4
050,050,real,original/050.mp4
051,051,real,original/051.mp4
052,052,real,original/052.mp4
053,053,real,original/053.mp4
054,054,real,original/054.mp4
055,055,real,original/055.mp4
056,056,real,original/056.mp4
057,057,real,original/057.mp4
058,058,real,original/058.mp4
059,059,real,original/059.mp4
060,060,real,original/060.mp4
061,061,real,original/061.mp4
062,062,real,original/062.mp4
063,063,real,original/063.mp4
064,064,real,original/064.mp4
065,065,real,original/065.mp4
066,066,real,original/066.mp4
067,067,real,original/067.mp4
068,068,real,original/068.mp4
069,069,real,original/069.mp4
070,070,real,original/070.mp4
071,071,real,original/071.mp4
072,072,real,original/072.mp4
073,073,real,original/073.mp4
074,074,real,original/074.mp4
075,075,real,original/075.mp4
076,076,real,original/076.mp4
077,077,real,original/077.mp4
078,078,real,original/078.mp4
079,079,real,original/079.mp4
080,080,real,original/080.mp4
081,081,real,original/081.mp4
082,082,real,original/082.mp4
083,083,real,original/083.mp4
084,084,real,original/084.mp4
085,085,real,original/085.mp4
086,086,real,original/086.mp4
087,087,real,original/087.mp4
088,088,real,original/088.mp4
089,089,real,original/089.mp4
090,090,real,original/090.mp4
091,091,real,original/091.mp4
092,092,real,original/092.mp4
093,093,real,original/093.mp4
094,094,real,original/094.mp4
095,095,real,original/095.mp4
096,096,real,original/096.mp4
097,097,real,original/097.mp4
098,098,real,original/098.mp4
099,099,real,original/099.mp4
100,100,real,original/100.mp4
101,101,real,original/101.mp4
102,102,real,original/102.mp4
103,103,real,original/103.mp4
104,104,real,original/104.mp4
105,105,real,original/105.mp4
106,106,real,original/106.mp4
107,107,real,original/107.mp4
108,108,real,original/108.mp4
109,109,real,original/109.mp4
110,110,real,original/110.mp4
111,111,real,original/111.mp4
112,112,real,original/112.mp4
113,113,real,original/113.mp4
114,114,real,original/114.mp4
115,115,real,original/115.mp4
116,116,real,original/116.mp4
117,117,real,original/117.mp4
118,118,real,original/118.mp4
119,119,real,original/119.mp4
120,120,real,original/120.mp4
121,121,real,original/121.mp4
122,122,real,original/122.mp4
123,123,real,original/123.mp4
124,124,real,original/124.mp4
125,125,real,original/125.mp4
126,126,real,original/126.mp4
127,127,real,original/127.mp4
128,128,real,original/128.mp4
129,129,real,original/129.mp4
130,130,real,original/130.mp4
131,131,real,original/131.mp4
132,132,real,original/132.mp4
133,133,real,original/133.mp4
134,134,real,original/134.mp4
135,135,real,original/135.mp4
136,136,real,original/136.mp4
137,137,real,original/137.mp4
138,138,real,original/138.mp4
139,139,real,original/139.mp4
140,140,real,original/140.mp4
141,141,real,original/141.mp4
142,142,real,original/142.mp4
143,143,real,original/143.mp4
144,144,real,original/144.mp4
145,145,real,original/145.mp4
146,146,real,original/146.mp4
147,147,real,original/147.mp4
148,148,real,original/148.mp4
149,149,real,original/149.mp4
150,150,real,original/150.mp4
151,151,real,original/151.mp4
152,152,real,original/152.mp4
153,153,real,original/153.mp4
154,154,real,original/154.mp4
155,155,real,original/155.mp4
156,156,real,original/156.mp4
157,157,real,original/157.mp4
158,158,real,original/158.mp4
159,159,real,original/159.mp4
160,160,real,original/160.mp4
161,161,real,original/161.mp4
162,162,real,original/162.mp4
163,163,real,original/163.mp4
